2026-06-02 17:19:33 | INFO     | services.docling | Parsing 'attention_is_all_you_need.pdf' with Docling
2026-06-02 17:20:22 | INFO     | services.docling | Docling produced 48957 chars of markdown for 'attention_is_all_you_need.pdf'
2026-06-02 17:20:22 | INFO     | services.docling | Extracted 4 table(s) from 'attention_is_all_you_need.pdf'
2026-06-02 17:20:22 | INFO     | services.docling | Produced 39 chunk(s) from 'attention_is_all_you_need.pdf'
2026-06-02 17:31:25 | INFO     | services.docling | Parsing 'no_tables.md' with Docling
2026-06-02 17:31:25 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 17:31:25 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 17:31:25 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 17:31:25 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 17:31:25 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 17:31:25 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 17:31:25 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 17:31:25 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 17:31:44 | INFO     | services.docling | Parsing 'no_tables.md' with Docling
2026-06-02 17:32:11 | INFO     | services.docling | Parsing 'no_tables.md' with Docling
2026-06-02 17:32:16 | INFO     | services.docling | Docling produced 460 chars of markdown for 'no_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Extracted 0 table(s) from 'no_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Produced 4 chunk(s) from 'no_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 17:32:16 | INFO     | services.docling | Docling produced 1442 chars of markdown for 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Extracted 2 table(s) from 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Produced 5 chunk(s) from 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 17:32:16 | INFO     | services.docling | Docling produced 1442 chars of markdown for 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Extracted 2 table(s) from 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Produced 5 chunk(s) from 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 17:32:16 | INFO     | services.docling | Docling produced 1442 chars of markdown for 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Extracted 2 table(s) from 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Produced 5 chunk(s) from 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 17:32:16 | INFO     | services.docling | Docling produced 1442 chars of markdown for 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Extracted 2 table(s) from 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Produced 5 chunk(s) from 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 17:32:16 | INFO     | services.docling | Docling produced 1442 chars of markdown for 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Extracted 2 table(s) from 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Produced 5 chunk(s) from 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 17:32:16 | INFO     | services.docling | Docling produced 1442 chars of markdown for 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Extracted 2 table(s) from 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Produced 5 chunk(s) from 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 17:32:16 | INFO     | services.docling | Docling produced 1442 chars of markdown for 'sample_with_tables.md'
2026-06-02 17:32:16 | INFO     | services.docling | Extracted 2 table(s) from 'sample_with_tables.md'
