2026-05-29 17:14:18 | INFO     | services.qdrant | Qdrant health check loop started
2026-05-29 17:14:18 | INFO     | services.qdrant | Attempt #0 Successfully connected to Qdrant
2026-05-29 17:16:19 | INFO     | services.qdrant | Qdrant health check loop started
2026-05-29 17:16:19 | INFO     | services.qdrant | Attempt #0 Successfully connected to Qdrant
2026-05-29 17:16:35 | INFO     | services.qdrant | Qdrant health check loop started
2026-05-29 17:16:35 | INFO     | services.qdrant | Attempt #0 Successfully connected to Qdrant
2026-05-29 17:28:07 | INFO     | services.qdrant | Qdrant health check loop started
2026-05-29 17:28:07 | INFO     | services.qdrant | Attempt #0 Successfully connected to Qdrant
2026-05-29 17:36:24 | INFO     | services.qdrant | Qdrant health check loop started
2026-05-29 17:36:24 | INFO     | services.qdrant | Attempt #0 Successfully connected to Qdrant
2026-05-29 17:43:26 | INFO     | services.qdrant | Qdrant health check loop started
2026-05-29 17:43:26 | INFO     | services.qdrant | Qdrant health check failed
2026-05-29 17:43:31 | INFO     | services.qdrant | Qdrant health check failed
2026-05-29 17:43:36 | INFO     | services.qdrant | Qdrant health check failed
